"Logout","Выход"
"Upload","Закачать"
"Error","Ошибка"
"Your SX cluster is down for maintenance, please try again later or contact your system administrator.","Кластер хранения отключён для обслуживания. Пожалуйста, попробуйте снова позже, либо свяжитесь с администратором."
"SXWeb - An error occurred!","SXWeb - произошла ошибка!"
"Ops!","Ой!"
"Application encountered an internal error. Please check the configuration.","Произошла внутренняя ошибка. Пожалуйста, проверьте конфигурацию."
"Parent directory","Родительская папка"
"Rename","Переименовать"
"Copy","Скопировать"
"Move","Перенести"
"Delete","Удалить"
"Download","Скачать"
"Create Link","Создать ссылку"
"No files found.","Файлы не найдены."
"First","Первая"
"&lt; Previous","&lt; Предыдущая"
"Next &gt;","Следующая &gt;"
"Last","Последняя"
"Manage your account","Управление учётной записью"
"My Account","Моя учётная запись"
"Login","Войти"
"Username","Пользователь"
"Tech Support","Техподдержка"
"Search...","Поиск..."
"Bulk Actions","Групповые действия"
"New Folder","Новая папка"
"Name","Имя"
"Size","Размер"
"Date","Дата"
"Password required!","Требуется пароль!"
"The volume you are trying to access is encrypted. Please provide the password.","Раздел, который вы пытаетесь открыть, зашифрован. Пожалуйста, укажите пароль."
"Unlock volume!","Разблокируйте раздел!"
"Password","Пароль"
"Remember me","Запомнить меня"
"Forgot Your Password?","Забыли пароль?"
"Sign in","Войти"
"No volumes found!","Разделы не найдены."
"Please ask the administrators to add at least one volume to your account.","Пожалуйста, попросите администраторов добавить раздел в вашу учётную запись."
"Reset password","Сбросить пароль"
"Enter your email. You will receive a link to follow to reset your password.","Введите ваш email. Вам будет выслана ссылка для сброса пароля."
"Email address","Email адрес"
"Welcome to SXWeb!","Добро пожаловать в SXWeb!"
"This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s.","Этот веб-интерфейс надёжно хранит ваши данные в кластере <b>Skylable S<sup>X</sup></b>, запущенном на %s."
"You can access your data anywhere, anytime using this web interface or one of the following applications:","Вы можете обращаться в своим данным в любое время используя этот веб-интерфейс или одно из следующих приложений:"
"Do not display again","Не показывать снова"
"Great, thanks!","Отлично, спасибо!"
"Name:","Имя:"
"Link to the shared file:","URL общего файла:"
"There are errors!","Есть ошибки!"
"File: <span>%s</span>","Файл: <span>%s</span>"
"Directory: <span>%s</span>",""
"Password (Leave empty if none. Max allowed length is %d characters.)","Пароль (оставьте пустым, если его нет. Максимальная длина %d символов)"
"Expire Time:","Срок действия:"
"One Day","Один день"
"One Week","Одна неделя"
"Two Weeks","Две недели"
"One Month","Один месяц"
"Never Expire","Бессрочно"
"Are you sure you want to share the file?","Вы уверены, что хотите поделиться файлом?"
"Are you sure you want to share the directory?",""
"Downloading...","Загружается..."
"Download will start in","Загрузка начнется в течение"
"Please enter the password to download the file: <b>%s</b>","Пожалуйста, введите пароль для загрузки файла: <b>%s</b>"
"Start downloading file: <b>%s</b> ?","Начать загружать файл: <b>%s</b> ?"
"Download now!","Загрузить сейчас!"
"From:","От:"
"To:","Для:"
"Parent directory","Родительская папка"
"Remove account?","Удалить учётную запись?"
"Are you sure you want to remove your account?","Вы уверены, что хотите удалить учётную запись?"
"Beware! This operation cannot be undone!","Осторожно! Эту операцию нельзя отменить!"
"Name","Имя"
"Actions","Действия"
"Nothing found.","Ничего не нашлось."
"Download the file","Загрузить файл"
"Download","Загрузить"
"Open folder: %s","Открыть папку: %s"
"Open folder","Открыть папку"
"Manage Account","Управление учётной записью"
